	header	desc	author	date
257	Why A Gas Tax Holiday Probably Won’t Work	The gasoline tax holiday being proposed is unlikely to provide any noticeable relief to high gasoline prices.	Robert Rapier	Jun 21, 2022
258	Ask An Expert: I Got Public Service Loan Forgiveness, Now What?	If you qualified for loan forgiveness, congrats! Here's some ideas about how to be smart with your money.	Grace L. Williams	Jun 21, 2022
259	Energy Stocks Jump As Oil Surges Again—Prices Will Remain Elevated Through Summer	Some analysts say oil and gas prices will moderate by early next year.	Sergei Klebnikov	Jun 21, 2022
260	Stock Market Could Crash Another 20% If U.S. Plunges Into Recession—These Industries Are Most At Risk	“The bear market will not be over until recession arrives—or the risk of one is extinguished,” Morgan Stanley has warned clients.	Jonathan Ponciano	Jun 21, 2022
261	Financial Planner Shares Outlook For Inflation Recession And Stocks: Video	Financial Planner LA’s David Rae appears on In Depth with Bob DeCastro, discussing where there stock market is headed, what inflation means for your finances and if we are heading to a recession.	David Rae	Jun 21, 2022
262	Mondelez Joins The Snack Bar Wars With Its $2.9 Billion Acquisition Of Clif Bar	As the snack space heats up, Mondelez and one of its rivals are taking very different approaches to M&A.	Kevin Dowd	Jun 21, 2022
263	Will The IRS Deny Your Claim For The Employee Retention Tax Credit?	The written advice some of these companies provide to their clients is lacking.	Daniel Mayo	Jun 21, 2022
264	Five Stocks That Could Hold Up In A Recession	These stocks should have the financial and operational strength to come through a recession in good shape.	John Dorfman	Jun 21, 2022
265	Student Loan Forgiveness: Biden Could Eliminate This Much Debt	Will your student loans get canceled?	Zack Friedman	Jun 21, 2022
266	How To Pay For College With Cigarettes	If the average smoker, instead of spending $3,211 a year on cigarettes, instead invested that amount, how much of a difference would it really make in paying for college?	Brian Boswell	Jun 21, 2022
267	Gold Has Held Up Nicely Against A Strong Dollar And Surging Bond Yields	The yellow metal has managed to stay positive since the start of the year, skirting pressure from surging yields and a strong U.S. dollar. Meanwhile, nearly every other asset class has fallen into either correction or bear market territory.	Frank Holmes	Jun 21, 2022
268	Inventories, Inflation, Tax Policy, And Supply Chain Disruption	Martin A. Sullivan argues that because the free market on its own hasn’t done enough to prevent disruptions, the government may want to consider subsidizing inventory investment.	Martin Sullivan	Jun 21, 2022
269	Stock Market Crash 2022: It’s All About The Fed And Its Taper	There is never a better time to keep it simple than during a crash like we are having now.	Clem Chambers	Jun 21, 2022
270	Existing Home Prices Hit Record $402,000—But Sales Fall As Housing Market ‘Painfully’ Adjusts To Rising Rates	Home sales have “essentially returned” to pre-pandemic levels seen in 2019, “after two years of gangbuster performance,” but prices keep skyrocketing amid still-low inventory and lingering supply-chain constraints.	Jonathan Ponciano	Jun 21, 2022
271	Why It Is Important To Write A Good Thank You Letter	The May 25, 2022 the Tax Court decision, which denied a charitable deduction, shows why a well written thank you letter, even from a public charity, is so important.	Matthew Erskine	Jun 21, 2022
272	Hong Kong Outperforms As Growth Leads, Biden Mulls Tariff Action	Asian equities were mixed but mostly higher overnight as Hong Kong outperformed, driven by growth and internet stocks as optimism gathers over the end to lockdowns in China and an improving macroeconomic picture.	Brendan Ahern	Jun 21, 2022
273	Should Parents Cosign Student Loans?	With the costs of higher education continuing to rise year after year, it's only natural for parents to want to chip in and help with the cost. But should they?	Robert Farrington	Jun 21, 2022
274	Is Hartford Financial Stock Attractive At The Current Levels?	Hartford Financial’s stock (NYSE: HIG) has lost approximately 7% YTD as compared to the 24% drop in the S&P500 index over the same period.	Trefis Team	Jun 21, 2022
275	Forbes’ Best-In-State Banks And Credit Unions 2022	The institutions with highest levels of customer satisfaction enjoy a long-term competitive advantage versus less adept practitioners of pleasing and keeping clients. Here are the best in each state for 2022.	John Dobosz	Jun 21, 2022
276	Ride Out The Crash With These 11.8% Dividends	I know this inflation-panicked market is frustrating, but despite the endless doomsaying from the pundits, there is good news...	Michael Foster	Jun 21, 2022
277	Dow Jumps 600 Points Even As Experts Warn Recession Could Lead To Further Stock Selloff	Markets rallied despite ongoing recession fears, with experts predicting more downside ahead.	Sergei Klebnikov	Jun 21, 2022
278	Divorcing With A SLAT – 5 Things You Should Know	If you gifted money to a SLAT for your spouse and are now having second thoughts about the marriage, getting that money back during the divorce may be harder than you think.	Christine Fletcher	Jun 21, 2022
279	Recession Fears Persist	Growing concerns about a recession probably won’t help ease market anxiety either.	JJ Kinahan	Jun 21, 2022
280	What A Recession Would Mean For Caterpillar Stock?	Caterpillar stock (NYSE: CAT) has seen a fall of 9% over the last month, due to fears of recession and its impact on the company’s business, after a solid financial performance over the last few quarters, driven by surging demand for industrial equipment and a better pricing environment.	Trefis Team	Jun 21, 2022
281	Family Office CEO Compensation Jumps By More Than 100%	The compensation of Family Office CEOs has jumped by a huge 133% in the last six years.	Paul Westall	Jun 21, 2022
282	Should You Buy, Sell, Or Hold Intuitive Surgical Stock Around $200?	Intuitive Surgical (NASDAQ: ISRG), a fast-growing robotic surgical platform company, has seen a sharp decline of 15% in a month, while it is down a significant 47% year-to-date.	Trefis Team	Jun 21, 2022
283	With The Markets Tanking, What’s Next For Snowflake Stock?	While cloud data specialist Snowflake stock (NYSE: SNOW) has taken a beating, falling by 65% year-to-date, the company outlook appears to be largely intact.	Trefis Team	Jun 21, 2022
284	What’s Happening With Carnival Stock?	Carnival, the largest cruise line operator, has seen its stock price decline by close to 41% over the last month, considerably underperforming the S&P 500, which was down by about 10% over the same period.	Trefis Team	Jun 21, 2022
285	Billionaire Henry Cheng Ventures Into Web3 With Investment Tokens For London Real Estate	Knight Dragon, a London-based property developer owned by Hong Kong’s Henry Cheng, is offering investors a share in the profits of one of Britain’s largest urban renewal projects by using blockchain technology.	Zinnia Lee	Jun 21, 2022
286	‘Yes’— Biden Will Soon Decide On Student Loan Relief And Gas Tax Holiday To Combat Inflation	President Biden confirmed on Monday that he is nearing a decision on student loan forgiveness and gas tax relief for millions of Americans.	Adam S. Minsky	Jun 20, 2022
287	Are You Setting Yourself Up For Unhealthy Aging?	Health experts tell us we need to move more, sit less and eat a healthy diet as we age. We can extend our own healthspans, not just live longer, with three basics: 150 min./week of movement, strength exercises and balance work. Keeping it simple means anyone can do it.	Carolyn Rosenblatt	Jun 20, 2022
288	How To Set Up A Trading Business For Optimal Tax Savings	If you are eligible for trader tax status (TTS), consider setting up a trading business to maximize tax benefits. Some traders benefit from an LLC; others don’t need one.	Robert Green	Jun 20, 2022
289	Why Amazon.com Has Lost Its Way	Amazon.com (AMZN) shares are down in 2022 by a whopping 37.5%. At the annual general meeting two weeks ago shareholders plan to push back on executive pay, unionization and tax policies. Buckle up, this is another headwind for the e-commerce giant.	Jon Markman	Jun 20, 2022
290	Magic Johnson Invests In Metaverse Gaming Mashup Of Sports, eSports, Gaming, Web3	Basketball great turned business mogul Magic Johnson has invested in SimWin Sports, a digital sports league of teams with sports star and celebrity owners, and purchased football and basketball franchise in SimWin.	John Koetsier	Jun 20, 2022
291	Understanding The Limits Of The Transferee's Good Faith Defense In Voidable Transaction Law	An explanation of why the UVTA section 8(a) defense is limited to section 4(a) intent-based voidable transactions and fraudulent transfers	Jay Adkisson	Jun 20, 2022
292	4 Out Of 5 Americans With Diabetes Went Into Debt To Pay For Insulin, New Survey Shows	According to a new study, 79% of Americans with diabetes say paying for insulin has created financial difficulty. A new bill capping insulin costs could bring relief, if it passes the U.S. Senate.	Deb Gordon	Jun 20, 2022
293	Lenovo Adds HTC Chairwoman Cher Wang To Board Of Directors	Lenovo ranked as the world's No. 2 PC and tablet supplier in first quarter	Russell Flannery	Jun 20, 2022
294	How To Hire A Financial Advisor In The Top 2%	It may seem like a lot but choosing a financial advisor is a big decision. This can be a lifelong relationship with someone that can help you achieve some of your most important goals. Don't you want them to be in the top 2%?	Erik Carter	Jun 20, 2022
295	5 Reasons Why Student Loan Forgiveness Is A Bad Idea	5 reasons to reconsider student loan relief, according to this top U.S. senator.	Zack Friedman	Jun 20, 2022
296	The End Of The Neobank Era	Neobanks may have won the first battle with incumbent banks, but a new wave of competition is coming from the likes of Square, PayPal, and Apple. It’s hard to imagine that venture capitalists will continue to fund new neobank startups.	Ron Shevlin	Jun 20, 2022
297	3 Lessons Learned From The Crypto Sell-Off	Bitcoin lost more than 70% of its value since November highs, and Celsius, a lending platform, announced that it would be pausing a significant portion of its activity.	Ilona Limonta-Volkova	Jun 20, 2022
298	Zilingo Cofounders Propose To Buyout Financially Troubled Startup	The cofounders of Zilingo—Dhruv Kapoor and Ankiti Bose—have proposed to buyout the troubled fashion startup as the duo aims to restructure and revive the company’s operations amid prospects of liquidation.	Jonathan Burgos	Jun 20, 2022
299	3 NASDAQ Stocks Make New Highs While The NASDAQ Sinks Lower	While most NASDAQ stocks got sold and kept making lower lows, 3 stocks you probably never heard of found enough buyers to establish higher highs last week.	John Navin	Jun 19, 2022
300	Ask Larry: In What Month Does Social Security Consider Me To Be 62?	Today's Social Security column addresses questions about how and when Social Security determines someone to have turned 62, filing for retirement benefits at FRA before later spousal benefits and retroactive retirement benefits before survivor's benefits.	Laurence Kotlikoff	Jun 19, 2022
301	If The Crypto Crash Is Another “Tulip Bubble” That Is Really Good News.	If this crypto crash is like the tulip bubble then that is a very good thing, because the new regulatory environment that will support tokens, digital currencies and decentralised finance will be the crucial factor in creating a new golden age whether Bitcoin goes to zero or $100K next year.	David G.W. Birch	Jun 19, 2022
302	US Notes Are Likely To Fall In The Coming Week	US notes are entering a very bearish week that will likely be followed by a summer rally.	Bill Sarubbi	Jun 19, 2022
303	Stocks This Week: Sell Short Corning And Omnicron	Here are short sale recommendations for a bearish week.	Bill Sarubbi	Jun 19, 2022
304	Make $228 An Hour In Your Spare Time	Do-it-yourself labor has powerful economic forces at its back. You can participate—or invest.	William Baldwin	Jun 19, 2022
305	3 Cheap BDCs Paying 9%+ Dividends	Get your dip-buying lists ready, because it’s almost time to pounce.	Brett Owens	Jun 19, 2022
306	Welcome To The Real Bear Market	Widespread selling has ushered in a real bear market. Energy stocks, which had been almost impervious this year, declined 17% last week. A silver lining is that a decent amount of bad news is baked into asset prices now, which should eventually usher in a period of high returns.	Bill Stone	Jun 19, 2022
307	As Telegram’s Toncoin Usage Grows, Failed Gram Investors Seeing Red	As cryptocurrency investments go deep red, some investors in Telegram's ICO turn to the courts.	Kenneth Rapoza	Jun 19, 2022
308	Keeping Remote Work In Perspective	Although remote work is growing, other labor market changes in the past century are much more important. Commentators need to keep this in perspective.	Richard McGahey	Jun 19, 2022
309	As The Fed Fiddles, The Economy Burns: A Powell Failure	The stock market got hammered last week as investors realized how serious the economic situation has become with a Fed seemingly tone deaf. The Bond market, however, appears to have come around to our view that the Recession will come sooner and be deeper than the Wall Street narrative.	Robert Barone	Jun 18, 2022
310	This Unloved Fund Defies Inflation, Yields 7.4%	As difficult as this selloff has been for all of us, it has left some attractive (and discounted) dividends on the board.	Michael Foster	Jun 18, 2022
311	Boris Johnson Undermines Northern Ireland Peace Process	In the past week, another event has come along to confirm the deglobalization framework – the attempt by Boris Johnson’s government to jettison the Northern Irish Protocol, an action that would effectively undercut the Good Friday Agreement.	Mike O'Sullivan	Jun 18, 2022
312	Facing Slowing Growth And Worker Discontent, High-Flying Fintech Unicorn Socure Lays Off 13% Of Staff	The identity verification startup raised $450 million last November and is now aiming to make its cash last. Even before the layoffs, there were signs of employee unhappiness.	Jeff Kauflin	Jun 17, 2022
313	From Pitch Competitions To $1 Billion Valuation: How Suneera Madhani Found A Smarter Way To Process Payments With Stax	Suneera Madhani’s fintech company, Stax, has processed over $23 billion in payments for 22,000 businesses.	Yola Robert	Jun 17, 2022
314	3 Undervalued Predictable Stocks In The Consumer Cyclical Space	These companies have predictable businesses while offering potential value	GuruFocus	Jun 17, 2022
315	Rick Scott Reconsiders, Decides Tax Hike For Half The Country Is Probably A Bad Idea	Scott should maybe have labeled his original document an “11-Point Plan to Rescue Democrats,'' write tax historian Joseph Thorndike.	Joseph Thorndike	Jun 17, 2022
316	USDJPY As A Unique One-Look Indicator	While nothing can fully reflect the entire system, USDJPY, especially now, can speak to much of it.	John Kicklighter	Jun 17, 2022
317	How To Navigate The Current Stock Market Volatility Revisited	Through all the uncertainty, I am keeping in mind Warren Buffett’s observation that “[t]he future is never clear; you pay a very high price in the stock market for a cheery consensus. Uncertainty actually is the friend of the buyer of long-term values.”	Jonathan Boyar	Jun 17, 2022
318	Stocks Post Worst Week Since March 2020 Amid ‘Deafening’ Recession Worries	Markets have had a volatile week following the Fed’s biggest rate hike since 1994.	Sergei Klebnikov	Jun 17, 2022
319	Private Equity Still Leads Hedge Funds In Investor Intentions	The Lincoln Private Market Index rose 1.7% during the quarter, at a time when many of the gains recorded in public company valuations in the second half of 2021 were erased following Russia's invasion of Ukraine.	Jacob Wolinsky	Jun 17, 2022
320	How To Invest During A Recession: Why Experts Pick These Stocks During Economic Turmoil	Investors can ride out a downturn by sticking to these recession-proof stocks, experts say.	Sergei Klebnikov	Jun 17, 2022
321	How Dangerous Is The Bear Market?	The bear market is here, but how long will it stay? Commonwealth CIO Brad McMillan looks at previous bear markets to help determine where we go from here.	Brad McMillan	Jun 17, 2022
322	'Worst Fears Confirmed' As Fed 'Plays Dangerous Game' With Inflation And Rate Hikes	"Experts are worried the Fed's most aggressive tightening campaign in nearly three decades could ""absolutely wreck"" the economy and spark a recession."	Jonathan Ponciano	Jun 17, 2022
323	The Impact Of The Fed Rate Hike And What To Expect Next	The Federal Reserve hiked its target federal funds rate by 0.75% on Wednesday. Here's what it means for the markets.	Q.ai - Powering a Personal Wealth Movement	Jun 17, 2022
324	Why Sustainability Investing May Be Retailing’s Crypto	It may seem like sustainability and ethical consumerism have been front page news for a long time, but as a set of measurable corporate goals by which to tell the good guys from the bad guys — formally known as ESG — it’s only been a couple of years since a rulebook started to take shape.	Greg Petro	Jun 17, 2022
325	How Older Adults Can Use Social Media To Market Startup Businesses	Facebook, Instagram, Twitter and other platforms can connect you directly to people already interested in what you offer	Next Avenue	Jun 17, 2022
326	Americans Want $10,000 Of Student Loan Cancellation, But They Prefer Cheaper College Instead	Here’s what you need to know — and what it means for your student loans.	Zack Friedman	Jun 17, 2022
327	Why Some Older Adults Are Rethinking Whether To Downsize	Some boomers are saving room for their parents or their children, just in case	Next Avenue	Jun 17, 2022
328	Why Value-Based Health Care Can Be Costly For People In Medicare	Six ways to avoid being denied treatment or prescription drugs	Next Avenue	Jun 17, 2022
329	Second Act Tips: Landing A Seat On A Corporate Board	Here is an opportunity for management-savvy older adults to learn and earn, and age is actually an advantage	Next Avenue	Jun 17, 2022
330	Almost Time To Invest In Innovation Again	Analysts at Morgan Stanley on Tuesday drew comparisons to 2000, the last great tech bubble. Their research says investors are still paying too much for innovation. That assessment is only half true. Scalable innovation is still rare, and now historically inexpensive.	Jon Markman	Jun 17, 2022
331	JD And Alibaba Lead Internet Rally, PBOC Accepts Ant’s Financial Holding Company Application, Week In Review	Asian equities were largely lower, except for Hong Kong and Mainland China, which posted nice gains despite yesterday’s US equity meltdown.	Brendan Ahern	Jun 17, 2022
332	Is Restaurant Brands Stock A Buy At $49?	After a 16% decline over the last six months, at the current price of around $49 per share, we believe Restaurant Brands International Inc. stock (NYSE: QSR), one of the largest fast-food restaurant chains in the world, including Burger King, Tim Hortons, Popeyes, and, since late 2021, also Fireh...	Trefis Team	Jun 17, 2022
333	What’s Behind Enphase Energy Stock’s Almost 40x Rise Since Late 2018?	Enphase Energy Inc. (NASDAQ: ENPH) stock price gained a staggering 40x from $4.73 at 2018 end to almost $190 currently, primarily due to favorable changes in its P/S multiple.	Trefis Team	Jun 17, 2022
334	All Cap Index & Sectors: Price To Economic Book Value Looks Cheaper Through 5/16/22, But Downside Risks Loom	The trailing PEBV ratio for the NC 2000 fell from 1.7 on 6/30/21 to 1.2 on 5/16/22 and is at its second lowest level since June 30, 2016.	David Trainer	Jun 17, 2022
335	Why Has Clorox Stock Underperformed The S&P Since Late 2020?	Clorox (NYSE: CLX) stock price lost 39% from $202 at 2020 end to around $123 currently, primarily due to unfavorable changes in its P/S multiple.	Trefis Team	Jun 17, 2022
336	With A Little Help From Post Malone And Tom Brady, A Music Mogul Moves Into VC	Electric Feel Ventures is ramping up, a new kind of food delivery startup is rolling in dough and more from the day in deals.	Kevin Dowd	Jun 17, 2022
337	What’s Next For Diageo Stock After A 10% Fall In A Month?	Diageo stock (NYSE: DEO) has fallen 10% in a month, while it’s down 22% year-to-date.	Trefis Team	Jun 17, 2022
338	Bitcoin Thanks Japan For Making It Look Less Pathetic	On Friday, with the eyes of the financial world fixed on a hemorrhaging yen, Bank of Japan Governor Kuroda did—nothing. The yen is now competing with bitcoin in a race to the bottom.	William Pesek	Jun 17, 2022
339	Will Economic Headwinds Hurt Hyatt’s Solid Run?	Hyatt Hotels is seeing a strong recovery in its business, as leisure travel picks up with a vengeance following close to two years of Covid-19 pandemic restrictions.	Trefis Team	Jun 17, 2022
340	What’s Happening With MGM Resorts Stock?	The company has been one of the big beneficiaries of the solid recovery of the gaming business in the Las Vegas market (which accounted for over 45% of MGM Resorts revenues pre-pandemic) and the broader U.S. gaming market as Covid-19-related concerns ease.	Trefis Team	Jun 17, 2022
341	What To Expect From Credit Suisse Stock?	The broader markets have witnessed selling pressure over the recent months due to high inflation numbers, aggressive interest rate hikes by the Fed, and the Russia-Ukraine crisis.	Trefis Team	Jun 17, 2022
342	Semiconductor Surge: Taiwan’s No. 2 Chip Maker Posts 42% Revenue Jump, But How Long Can It Last?	UMC reported soaring sales for the month of May, boosted by continued strong demand for its semiconductor chips that power consumer electronics and modern vehicles. But analysts warn that the global economy may not sustain that sort of growth for much longer.	Ralph Jennings	Jun 17, 2022
343	Gaming Hardware Giant Razer’s Venture Arm Leads $4 Million Investment In Singapore Crypto Payment Startup	Zventures, the venture arm of Singapore billionaire Min-Liang Tan’s gaming hardware giant Razer, has led a $4 million funding round for TripleA, a crypto payment startup based in Singapore.	Jayde Cheung	Jun 17, 2022
344	Settle Raises $280 Million In Debt to Power E-Commerce Brands	Settle's multiyear revolving credit facility will allow the company to continue expanding support for emerging and high-growth e-commerce businesses.	Prince Ghosh	Jun 16, 2022
345	Housing Crash Unlikely But Experts Say Home Prices Could Decline If Rates And Inflation Keep Soaring	New residential housing starts fell to the lowest number since April 2021 as mortgage rates surge.	David Westenhaver	Jun 16, 2022
346	Buy The Dip—Not This Time!	“Today’s Stock Investors are Paying off Margin Loans at a Record Pace” Besides superior long-term performance, stock investing offers many advantages not found in other asset classes.	Kenneth G. Winans	Jun 16, 2022
347	Major Socioeconomic Benefits of Connectivity Are Driving Demand for Off-Grid Power	In the past few decades, mobile connectivity has significantly transformed global society and the global economy.	Miriam Tuerk	Jun 16, 2022
348	How And When The Bond Crash Can Make Your Retirement Better	Long-term savers can be thankful that interest rates are higher. They’re finally getting a real return.	William Baldwin	Jun 16, 2022
349	This Week In Credit Card News: A Card Made From A Boeing 747; PayPal Takes BNPL To A Different Level	What took place this week in the credit card and payment industries.	Bill Hardekopf	Jun 16, 2022
350	Wealth Management Firms Thinking Happy Thoughts Amid Ugly Bear Market	While big brokerage advisors and investment chiefs remain uncertain about the near term, expectations are for a quick rebound.	Jason Bisnoff	Jun 16, 2022
351	Ask Larry: If I File Early, Will My Wife's Social Security Spousal Benefit Be Reduced?	Today's Social Security column addresses questions about how filing early can affect benefits for a spouse, whether an ex's state pension can reduce divorced spousal benefits and when spousal benefits can become available.	Laurence Kotlikoff	Jun 16, 2022
352	What Layoffs At Tesla And Coinbase Mean For Investors	After huge falls in 2022, the tech sector is looking undervalued, which could lead to opportunities for investors.	Q.ai - Powering a Personal Wealth Movement	Jun 16, 2022
353	This Is Why You Should Ditch Your Bond Funds And Buy Some Bonds Instead	Bond funds and individual bonds are fundamentally different instruments. With rising rates, individual bonds held to maturity will deliver a much better performance than bond funds held for similar periods.	Raul Elizalde	Jun 16, 2022
354	Do High-Net-Worth Investors Face A Greater Risk Of Investment Fraud?	Some high-net-worth investors could be a target for investment fraud due to a lack of knowledge about complex financial concepts.	Julie Jason, JD, LLM	Jun 16, 2022
355	IRS Completes Its 2022 ‘Dirty Dozen’ Tax Avoidance And Fraud List	"Carrie Brandon Elliot delves into the IRS's 2022 ""Dirty Dozen"" tax avoidance and fraud list."	Carrie Brandon Elliott	Jun 16, 2022
356	Everything You Wanted To Know About Bear Markets	This particular bear market has been in the works for months now. The economy is experiencing a major hangover from the trillions in liquidity that were printed to support businesses and consumers during the pandemic.	Frank Holmes	Jun 16, 2022
357	Post Malone Manager Brings His Hitmaking Machine To Venture Capital	Austin Eaton has helped craft a string of hit records for the likes of Post Malone, Justin Bieber and SZA with a mix of collaboration and gut instinct. Will his recipe for creating music magic carry over into startup investing?	Kevin Dowd	Jun 16, 2022
358	Housing Market ‘In Free Fall’ As New Construction Plummets—Here’s When ‘Reset’ Could Cool Prices	“This is still the early stages of the housing rollover,” says one expert, predicting that the coming months will bring steep declines in housing construction as the booming market “resets.”	Jonathan Ponciano	Jun 16, 2022
359	S&P 500 Crash 2022: Here Comes The Bottom	The stock market crash isn’t over, but it’s getting close to the end.	Clem Chambers	Jun 16, 2022
360	Will These Discount Retailers Beat Inflation?	With inflation reaching a 40-year high and consumer spending decreasing, should you consider these three discount retail stocks?	Charles Rotblut	Jun 16, 2022
361	Swiss Interest Rate Hike Turns Asian Equities Into Swiss Cheese As Mainland Investors Ignore Risk Off	Asian markets had a decent day until the Swiss National Bank unexpectedly raised interest rates 50 basis points sending risk assets south immediately.	Brendan Ahern	Jun 16, 2022
362	This IRS Form 1099 Is Not Counted As ‘Income’ By IRS	Lawyers, it turns out, are singled out in several ways with IRS Forms 1099. They receive these tax forms for most payments, but they get a special type of 1099 that is not counted as income, and that is a good deal. But they also have to send many 1099s.	Robert W. Wood	Jun 16, 2022
363	Microsoft Stock Has Lost 26% YTD, Is It Attractive At The Current Levels?	At its current price of $244 per share, it is trading 32% below its fair value of $360 – Trefis’ estimate for Microsoft’s valuation.	Trefis Team	Jun 16, 2022
364	How To Prepare Your Compliance Department For The Fintech Future	Fintechs will need robust compliance departments in place to both anticipate new regulations and address them as they are instituted. Here are 4 key areas of your compliance program to prioritize for success in the fintech future.	Julie Myers Wood	Jun 16, 2022
365	Dow Plunges 700 Points As Fed Rally Evaporates Amid Fears That A Recession Is ‘Inevitable’	Stocks continued to hit new lows for the year even after the Fed’s massive rate hike.	Sergei Klebnikov	Jun 16, 2022
366	Into The Metaverse: Use Cases For Directors	There are many ways in which leading companies are leaning into Web3 / the metaverse and boards would be well served to speak with management about what use cases may apply to your business.	Betsy Atkins	Jun 16, 2022
367	Could These Be The Best Dividend Stocks Of The 2020s?	Attention, growth investors! A quick stock market question for you.	Brett Owens	Jun 16, 2022
368	All Cap Index & Sectors: Free Cash Flow Yield Near Record Highs Through 5/16/22	The NC 2000’s trailing free cash flow (FCF) remains high, relative to recent quarters, because stock prices are declining more than FCF.	David Trainer	Jun 16, 2022
369	How To Avoid The Worst Style Mutual Funds 2Q22	The large number of mutual funds has little to do with serving investors’ best interests. Here are two red flags investors can use to avoid the worst mutual funds.	David Trainer	Jun 16, 2022
370	Interest Rates Rising	Following the Fed’s announcement of an interest rate increase of 75 basis points, the Bank of England and even the Swiss National Bank surprisingly raised rates as well.	JJ Kinahan	Jun 16, 2022
371	Is Corning Stock A Buy, Sell, Or Hold At $32?	The YTD -14% return for GLW compares with -22% returns for the broader S&P500 index, which has seen lower levels due to rising inflation, higher interest rates, and their potential impact on economic growth.	Trefis Team	Jun 16, 2022
372	Democrats Demand Timeline On Student Loan Cancellation	Will your student loans get canceled?	Zack Friedman	Jun 16, 2022
373	What A Recession Would Mean For Tesla Stock	Tesla’s financial performance has been nothing short of stellar over the last two years, driven by surging demand for electric vehicles, the production ramp of the mass-market Model Y and 3, and the opening of new production facilities.	Trefis Team	Jun 16, 2022
374	Hedge Funds Hold Fairly Steady Amid The May Market Turmoil	Hedge fund performance in May According to Citco's monthly report on hedge fund performance, the funds it administered recorded a total weighted average return of 1.1%, compared to the -2.9% return recorded in April.	Jacob Wolinsky	Jun 16, 2022
375	‘You Don’t Get A Bottom Until You Have An Event’—Shark Tank Star Issues Stark Crypto Prediction, As Price Of Bitcoin, Ethereum, BNB, XRP, Terra’s Luna, Solana, Cardano And Dogecoin Go Into Free Fall	A billionaire investor who made a killing during the dot-com bubble says the bottom isn't in yet. Meanwhile, the price of bitcoin, ethereum, XRP, BNB, luna, solana, cardano, dogecoin are in red again.	Dan Runkevicius	Jun 16, 2022
376	Is Pre-IPO Investing The Right Fit for Your Clients?	As a financial professional, you already know investing in both private and public entities is an ideal way to balance and diversify your client’s investment portfolio.	Kelli Click	Jun 16, 2022
377	Gene Editing Stocks To Consider After Bluebird Bio’s Breakthroughs	There was some positive news for the sector last week, after gene editing player Bluebird Bio received the unanimous backing of the U.S. Food and Drug Administration’s Cellular, Tissue, and Gene Therapies advisory committees for two separate therapies targeted at cerebral adrenoleukodystrophy and...	Trefis Team	Jun 16, 2022
378	Are You Average? Net Worth Averages As You Approach Retirement	"What is net worth and what's ""average""? The answer might surprise you."	Andrew Rosen	Jun 16, 2022
379	The GOP Must Avoid This Trap	Republicans can learn a lot from the blunders of British Prime Minister Boris Johnson.	Steve Forbes	Jun 16, 2022
380	Tycoon Andrew Tan’s Alliance Global Spending $1 Billion To Expand Property, Other Businesses	Alliance Global Group Inc. is budgeting 60 billion pesos ($1.1 billion) in capital expenditures this year to expand its real estate, distillery and fast food chain operations amid signs the economy is recovering from the pandemic-induced slowdown in the past two years.	Jonathan Burgos	Jun 16, 2022
381	Virtual Ponzi Scheme Implodes - Cryptocurrency Masterminds Are Missing	Another financial innovation hits a reality wall	John S. Tobey	Jun 15, 2022
382	The Fed Still Doesn’t Get It; Inflation Will Stay High Next Year	Despite its 75 basis point rate hike, the Federal Reserve still doesn’t understand inflation. As a result, Americans will continue to see high inflation for a couple of years, and the Fed will end up pushing interest rates even higher than it currently expects.	Bill Conerly	Jun 15, 2022
383	Is Bitcoin Headed For Further Pain After Repeatedly Falling Toward $20,000?	Bitcoin has suffered some significant losses lately, falling more than 70% from its all-time high. What's next for the digital currency? Several analysts offer their perspective.	Charles Bovaird	Jun 15, 2022
384	Student Loans, Mortgages, Credit Cards: Here’s What Will Cost More As Fed Raises Interest Rates	The Federal Reserve on Wednesday authorized the biggest interest rate hike in 28 years—doubling down on a policy that’s already driving up borrowing costs and tanking housing demand.	Jonathan Ponciano	Jun 15, 2022
385	Dow Jumps 300 Points After Powell Says Fed Could Hike Rates By 75 Basis Points Again In July	The Fed raised interest rates more aggressively than forecast as markets continue to be gripped by recession fears.	Sergei Klebnikov	Jun 15, 2022
386	Update: RBBN, June 15	Shares of Ribbon Communications (RBBN) started surging a couple hours into today’s trading session, gaining as much as 27% and still currently up about 18% on heavy volume. According to a post on Seeking Alpha, this move comes on the heels of comments made by RBBN’s CEO Bruce McClelland, who [...]	Taesik Yoon	Jun 15, 2022
387	Mortgages Surge Past 6% And Hit Their Highest Level Since 2008: Housing Market Could ‘Torpedo’ U.S. Economy, Expert Warns	Mortgage rates have spiked as markets brace for a more aggressive monetary policy from the Federal Reserve.	Sergei Klebnikov	Jun 15, 2022
388	Fed Makes Unusually Large Rate Hike, Expects Rates Over 3% By Year End	The Fed stressed that it is “strongly committed” to bringing down inflation with a 0.75% move up in rates. However, there is likely more to come.	Simon Moore	Jun 15, 2022
389	Fed Authorizes Biggest Interest Rate Hike In 28 Years, As Experts Worry Its Fight Against Inflation Will Spark Recession	Goldman Sachs economists now expect the Fed will hike rates by another 75 basis points in July—causing a “meaningful” drag on economic growth.	Jonathan Ponciano	Jun 15, 2022
390	Financial Advisors: Is Now The ‘Right Time’ To Start Exploring Your Options?	The reality is that it’s important that financial advisors always stay aware and educated about the opportunities around them—particularly in an environment that’s evolved rapidly over the last several years.	Mindy Diamond	Jun 15, 2022
